item,Titre,et,createur,AnneeCreation,image,coord 2
http://www.wikidata.org/entity/Q3076221,fontaine des Ambassadeurs,fontaine des Ambassadeurs-Jacques Ignace Hittorff,Jacques Ignace Hittorff,1840,http://commons.wikimedia.org/wiki/Special:FilePath/Fontaine%20des%20Ambassadeurs%20Paris%208e%20003.jpg,"48.8674, 2.318"
http://www.wikidata.org/entity/Q3076255,fontaine des Quatre-Parties-du-Monde,fontaine des Quatre-Parties-du-Monde-Emmanuel Frémiet,Emmanuel Frémiet,,http://commons.wikimedia.org/wiki/Special:FilePath/FontaineQuatrePartiesDuMonde02.jpg,"48.84105556, 2.33680556"
http://www.wikidata.org/entity/Q3076255,fontaine des Quatre-Parties-du-Monde,fontaine des Quatre-Parties-du-Monde-Fonderie Thiébaut Frères,Fonderie Thiébaut Frères,,http://commons.wikimedia.org/wiki/Special:FilePath/FontaineQuatrePartiesDuMonde02.jpg,"48.84105556, 2.33680556"
http://www.wikidata.org/entity/Q3076255,fontaine des Quatre-Parties-du-Monde,fontaine des Quatre-Parties-du-Monde-Gabriel Davioud,Gabriel Davioud,,http://commons.wikimedia.org/wiki/Special:FilePath/FontaineQuatrePartiesDuMonde02.jpg,"48.84105556, 2.33680556"
http://www.wikidata.org/entity/Q3076255,fontaine des Quatre-Parties-du-Monde,fontaine des Quatre-Parties-du-Monde-Jean-Baptiste Carpeaux,Jean-Baptiste Carpeaux,,http://commons.wikimedia.org/wiki/Special:FilePath/FontaineQuatrePartiesDuMonde02.jpg,"48.84105556, 2.33680556"
http://www.wikidata.org/entity/Q3076255,fontaine des Quatre-Parties-du-Monde,fontaine des Quatre-Parties-du-Monde-Louis Villeminot,Louis Villeminot,,http://commons.wikimedia.org/wiki/Special:FilePath/FontaineQuatrePartiesDuMonde02.jpg,"48.84105556, 2.33680556"
http://www.wikidata.org/entity/Q3076255,fontaine des Quatre-Parties-du-Monde,fontaine des Quatre-Parties-du-Monde-Pierre Legrain,Pierre Legrain,,http://commons.wikimedia.org/wiki/Special:FilePath/FontaineQuatrePartiesDuMonde02.jpg,"48.84105556, 2.33680556"
http://www.wikidata.org/entity/Q3076290,fontaine du bassin Soufflot,fontaine du bassin Soufflot-Gabriel Davioud,Gabriel Davioud,,http://commons.wikimedia.org/wiki/Special:FilePath/Bassin%20Soufflot%20Paris%206e%20%28Panth%C3%A9on%29.jpg,"48.8474, 2.34057"
http://www.wikidata.org/entity/Q3076290,fontaine du bassin Soufflot,fontaine du bassin Soufflot-Gustave Crauk,Gustave Crauk,,http://commons.wikimedia.org/wiki/Special:FilePath/Bassin%20Soufflot%20Paris%206e%20%28Panth%C3%A9on%29.jpg,"48.8474, 2.34057"
http://www.wikidata.org/entity/Q3076264,fontaine du Château d'eau,fontaine du Château d'eau-Gabriel Davioud,Gabriel Davioud,,http://commons.wikimedia.org/wiki/Special:FilePath/Fontaine%20du%20Ch%C3%A2teau%20d%27eau%20%28Gabriel%20Davioud%29%2C%202010-04-18%2072.jpg,"48.8396, 2.39576"
http://www.wikidata.org/entity/Q3076264,fontaine du Château d'eau,fontaine du Château d'eau-Henri-Alfred Jacquemart,Henri-Alfred Jacquemart,,http://commons.wikimedia.org/wiki/Special:FilePath/Fontaine%20du%20Ch%C3%A2teau%20d%27eau%20%28Gabriel%20Davioud%29%2C%202010-04-18%2072.jpg,"48.8396, 2.39576"
http://www.wikidata.org/entity/Q3076267,fontaine du Château d'eau,fontaine du Château d'eau-Pierre-Simon Girard,Pierre-Simon Girard,,http://commons.wikimedia.org/wiki/Special:FilePath/Fontaine%20du%20Ch%C3%A2teau%20d%27eau%20%28Pierre-Simon%20Girard%29%2C%202010-05-18%2005.jpg,"48.889555555, 2.392277777"
http://www.wikidata.org/entity/Q3076259,fontaine du Cirque,fontaine du Cirque-Gabriel Davioud,Gabriel Davioud,1840,http://commons.wikimedia.org/wiki/Special:FilePath/Fontaine%20du%20Cirque%20Paris%208e%20006.jpg,"48.869, 2.31293"
http://www.wikidata.org/entity/Q3076259,fontaine du Cirque,fontaine du Cirque-Jacques Ignace Hittorff,Jacques Ignace Hittorff,1840,http://commons.wikimedia.org/wiki/Special:FilePath/Fontaine%20du%20Cirque%20Paris%208e%20006.jpg,"48.869, 2.31293"
http://www.wikidata.org/entity/Q3076259,fontaine du Cirque,fontaine du Cirque-Jean-Auguste Barre,Jean-Auguste Barre,1840,http://commons.wikimedia.org/wiki/Special:FilePath/Fontaine%20du%20Cirque%20Paris%208e%20006.jpg,"48.869, 2.31293"
http://www.wikidata.org/entity/Q3076272,fontaine du Fellah,fontaine du Fellah-François-Jean Bralle,François-Jean Bralle,1806,http://commons.wikimedia.org/wiki/Special:FilePath/Fontaine%20du%20Fellah.jpg,"48.8487, 2.3212"
